코드,항목명
  312,인사 및 교육‧훈련 사무원
   3121,인사 및 노무 사무원
    31210,인사 및 노무 사무원
   3122,교육 및 훈련 사무원
    31220,교육 및 훈련 사무원
 32,자재‧생산 및 운송 사무직
  321,자재 및 생산관리 사무원
   3211,자재관리 사무원
    32110,자재관리 사무원
   3212,생산 및 품질관리 사무원
    32121,생산관리 사무원
    32122,품질관리 사무원
  322,운송 및 무역 사무원
   3221,도로 및 철도운송 사무원
    32211,도로운송 사무원
    32212,철도운송 사무원
   3222,수상 및 항공운송 사무원
    32221,수상운송 사무원
    32222,항공운송 사무원
   3223,무역 사무원
    32230,무역 사무원
   3229,기타 운송 및 무역 사무원
    32290,그 외 운송 및 무역 사무원
 33,회계‧경리 및 통계 사무직
  331,회계 및 경리 사무원
   3311,회계 사무원
    33110,회계 사무원
   3312,경리 사무원
    33120,경리 사무원
  332,통계‧데이터 관련 사무원
   3320,통계‧데이터 관련 사무원
    33201,통계‧데이터 사무원
    33202,통계 및 설문 조사 사무원
